item_code,item_name,manufacturer,description,quantity,unit_of_measure
4059729541123,קטריס - Pillow Like Matte ליפ מוס 010,קוסנובה,קטריס - Pillow Like Matte ליפ מוס 010,1,1 יח'
4059729541307,קטריס - Gloss Obsessed שפתון גלייז 020,קוסנובה,קטריס - Gloss Obsessed שפתון גלייז 020,1,1 יח'
4059729587961,קטריס - פודרה מטשטשת בגימור מט גוון 030W,קוסנובה,קטריס - פודרה מטשטשת בגימור מט גוון 030W,1,1 יח'
4059729594440,קטריס - פודרה מטשטשת בגימור מט גוון 040W,קוסנובה,קטריס - פודרה מטשטשת בגימור מט גוון 040W,1,1 יח'
4064666847900,"וולה - פלקס ספריי לשיער חזק במיוחד מלא ברק 250 מ""ל",WELLAFLEX,"וולה - פלקס ספריי לשיער חזק במיוחד מלא ברק 250 מ""ל",250,"100 מ""ל"
4250947543726,קטריס - מעגל ריסים,לא ידוע,קטריס - מעגל ריסים,1,1 יח'
4250947562277,קטריס - מסקרה מעוקלת גלאם אנד דול שחורה גוון 010,לא ידוע,קטריס - מסקרה מעוקלת גלאם אנד דול שחורה גוון 010,1,1 יח'
4250947598290,קטריס - מייק אפ נוזלי בז' רוז גוון 020,לא ידוע,קטריס - מייק אפ נוזלי בז' רוז גוון 020,1,1 יח'
4987176231543,אורל בי - מברשת שיניים קלאסיק סופט 6 יח',לא ידוע,אורל בי - מברשת שיניים קלאסיק סופט 6 יח',6,1 יח'
5000108478119,קוואקר - פתיתי שיבולת שועל 500 גרם,לא ידוע,קוואקר - פתיתי שיבולת שועל 500 גרם,500,100 גרם
5000204474558,"דאק - פרש דיסק ג'ל בניחוח ים 36 מ""ל",STJ,"דאק - פרש דיסק ג'ל בניחוח ים 36 מ""ל",36,"100 מ""ל"
5000394002463,דורסל - סימפלי סוללות AAA שמינייה,דורסל,דורסל - סימפלי סוללות AAA שמינייה,8,1 יח'
5010724000434,HERO - מדבקות לפצעונים הידרוקולואיד אינביזבל 24 יח',צ'רצ' אנד דוויט,HERO - מדבקות לפצעונים הידרוקולואיד אינביזבל 24 יח',24,1 יח'
5011417576908,"דורקס - ג'ל סיכוך בטעם דובדבן 100 מ""ל",RECKITT BENCKISER CHARTRES,"דורקס - ג'ל סיכוך בטעם דובדבן 100 מ""ל",100,"100 מ""ל"
5029053510828,קוטקס - תחבושות סופר 22 יח',קימברלי קלארק צ'כיה,קוטקס - תחבושות סופר 22 יח',22,1 יח'
5029053523446,קוטקס - תחבושות נייט 16 יח',קימברלי קלארק צ'כיה,קוטקס - תחבושות נייט 16 יח',16,1 יח'
5201178026686,"ניוואה - סאן שמן שיזוף 200 מ""ל SPF6",לא ידוע,"ניוואה - סאן שמן שיזוף 200 מ""ל SPF6",200,"100 מ""ל"
5201263021312,אברי דיי - מגן תחתון חוטיני 30 יח',לא ידוע,אברי דיי - מגן תחתון חוטיני 30 יח',30,1 יח'
5413149655522,"אריאל - אבקת כביסה שושן צחור 1.25 ק""ג",לא ידוע,"אריאל - אבקת כביסה שושן צחור 1.25 ק""ג",1250,100 גרם
5413548280189,קינדר - שוקובונס 125 גרם,פררו תעשיות איטליה ס.ר.ל.,קינדר - שוקובונס 125 גרם,125,100 גרם
5900951310379,סניקרס - חטיף קרימי 50 גרם,לא ידוע,סניקרס - חטיף קרימי 50 גרם,50,100 גרם
5900951314865,M&M's - מיניס שוקולד 225 גרם,מרס ריגלי,M&M's - מיניס שוקולד 225 גרם,225,100 גרם
5901414200411,היט - מיניס קקאו 130 גרם,בלזן,היט - מיניס קקאו 130 גרם,130,100 גרם
5906485301012,"אקסל - משקה אנרגיה 250 מ""ל",לא ידוע,"אקסל - משקה אנרגיה 250 מ""ל",250,"100 מ""ל"
6223013531079,"סנסודיין - משחת שיניים קומפליט 75 מ""ל",לא ידוע,"סנסודיין - משחת שיניים קומפליט 75 מ""ל",75,"100 מ""ל"
6920354835728,קולגייט - מברשת שיניים אופטיק וויט לאוהבי קפה זוג,לא ידוע,קולגייט - מברשת שיניים אופטיק וויט לאוהבי קפה זוג,2,1 יח'
6937266700785,שיק - אינטואיישן סנסיטיב סכיני גילוח שלישייה,לא ידוע,שיק - אינטואיישן סנסיטיב סכיני גילוח שלישייה,3,1 יח'
7290000072753,טסטר צ'ויס - קפה נמס 200 גרם,לא ידוע,טסטר צ'ויס - קפה נמס 200 גרם,200,100 גרם
7290000074184,אוסם - פתי בר בינוני 500 גרם,לא ידוע,אוסם - פתי בר בינוני 500 גרם,500,100 גרם
7290000080765,אוסם - טוסטעים עם שומשום 100 גרם,לא ידוע,אוסם - טוסטעים עם שומשום 100 גרם,100,100 גרם
7290000135151,"טמפו - סודה בטעם למון ליים 275 מ""ל",לא ידוע,"טמפו - סודה בטעם למון ליים 275 מ""ל",275,"100 מ""ל"
7290000188355,ניקול - מגבת נייר רב שימושית 6 גלילים,קימברלי-קלארק,ניקול - מגבת נייר רב שימושית 6 גלילים,6,1 יח'
7290000190853,לילי - נייר טואלט פיור קלין קלאסיק 30 גלילים,קימברלי-קלארק,לילי - נייר טואלט פיור קלין קלאסיק 30 גלילים,30,1 יח'
7290000191539,לילי - ממחטות נייר רכים צבעוני 90 יח' * חמישייה,קימברלי-קלארק,לילי - ממחטות נייר רכים צבעוני 90 יח' * חמישייה,450,1 יח'
7290000195773,האגיס - מגבוני סנסיטיב קר לא מבושם 56 יח' * רביעייה,עלבד משואות יצחק בעמ,האגיס - מגבוני סנסיטיב קר לא מבושם 56 יח' * רביעייה,224,1 יח'
7290000197432,ניקול - שקיות אוכל מדיום 150 יח' * זוג,ויפנג,ניקול - שקיות אוכל מדיום 150 יח' * זוג,300,1 יח'
7290000197463,האגיס - פרידום דריי שלב 4+ 36 יח',קימברלי קלארק ישראל,האגיס - פרידום דריי שלב 4+ 36 יח',36,1 יח'
7290000197548,האגיס - פרידום דריי שלב 5 32 יח',קימברלי קלארק ישראל,האגיס - פרידום דריי שלב 5 32 יח',32,1 יח'
7290000197678,האגיס - פרידום דריי שלב 6 27 יח',קימברלי קלארק ישראל,האגיס - פרידום דריי שלב 6 27 יח',27,1 יח'
7290000204215,ניקול - כריות ניקוי יפניות 6 יח',פלסטופוליש,ניקול - כריות ניקוי יפניות 6 יח',6,1 יח'
7290000245287,"פרסיל - אבקת כביסה קולור 1.25 ק""ג",לא ידוע,"פרסיל - אבקת כביסה קולור 1.25 ק""ג",1250,100 גרם
7290000286297,"סנו - אנטי קאלק מסיר אבנית 700 מ""ל",לא ידוע,"סנו - אנטי קאלק מסיר אבנית 700 מ""ל",700,"100 מ""ל"
7290000287195,"סנו - ספריי לניקוי רהיטים 300 מ""ל",לא ידוע,"סנו - ספריי לניקוי רהיטים 300 מ""ל",300,"100 מ""ל"
7290000288024,סנו ז'אוול - אקונומיקה בריח לימון 4 ליטר,לא ידוע,סנו ז'אוול - אקונומיקה בריח לימון 4 ליטר,4000,"100 מ""ל"
7290000288079,סנו ז'אוול - אקונומיקה לימון 2 ליטר,לא ידוע,סנו ז'אוול - אקונומיקה לימון 2 ליטר,2000,"100 מ""ל"
7290000289595,אורביטול - משחת שיניים לילדים תות שדה 145 גרם,לא ידוע,אורביטול - משחת שיניים לילדים תות שדה 145 גרם,145,100 גרם
7290000292564,"סנו - K2000 ללא ריח 750 מ""ל",לא ידוע,"סנו - K2000 ללא ריח 750 מ""ל",750,"100 מ""ל"
7290000294780,סנו ז'אוול - אקונומיקה סמיכה מבושמת 4 ליטר,לא ידוע,סנו ז'אוול - אקונומיקה סמיכה מבושמת 4 ליטר,4000,"100 מ""ל"
7290000295336,"סנו מקסימה - אבקת כביסה סנסטיב 1.25 ק""ג",לא ידוע,"סנו מקסימה - אבקת כביסה סנסטיב 1.25 ק""ג",1250,100 גרם
7290000467511,אוסם - ביסלי ברביקיו 55 גרם,לא ידוע,אוסם - ביסלי ברביקיו 55 גרם,55,100 גרם
7290000679099,"ד""ר פישר - אפקטיב קר מן ספורט תחליב רחצה 3 ב-1 700 מ""ל",לא ידוע,"ד""ר פישר - אפקטיב קר מן ספורט תחליב רחצה 3 ב-1 700 מ""ל",700,"100 מ""ל"
7290001302279,אוסם - במבה קלאסי 60 גרם,לא ידוע,אוסם - במבה קלאסי 60 גרם,60,100 גרם
7290001439074,מוסקו - כדור ליפה 3 יח',לא ידוע,מוסקו - כדור ליפה 3 יח',3,1 יח'
7290001713884,עלמה - מטליות מיקרופייבר לריצפה 3 יח',לא ידוע,עלמה - מטליות מיקרופייבר לריצפה 3 יח',3,1 יח'
7290002000143,"פנג'ל - קרם ידיים קלאסיק 80 מ""ל","דנלוג אינטרקוסמא בע""מ","פנג'ל - קרם ידיים קלאסיק 80 מ""ל",80,"100 מ""ל"
7290002075271,ריקולה - סוכריות בטעם צמחים שקית 70 גרם,לא ידוע,ריקולה - סוכריות בטעם צמחים שקית 70 גרם,70,100 גרם
7290002130567,יד מרדכי - דבש טהור 350 גרם,שטראוס גרופ,יד מרדכי - דבש טהור 350 גרם,350,100 גרם
7290002342052,GOOD PHARM - משטח לייבוש כלים,לא ידוע,GOOD PHARM - משטח לייבוש כלים,1,1 יח'
7290002349358,GOOD PHARM - ספוג הפלא 6 יח',לא ידוע,GOOD PHARM - ספוג הפלא 6 יח',6,1 יח'
7290002349884,GOOD PHARM - מטליות מיקרופייבר לניקוי כללי 5 יח',לא ידוע,GOOD PHARM - מטליות מיקרופייבר לניקוי כללי 5 יח',5,1 יח'
7290002551003,"סטארקיסט - טונה בשמן 160 גרם כשל""פ",לא ידוע,"סטארקיסט - טונה בשמן 160 גרם כשל""פ",160,100 גרם
7290002814054,סנט מוריץ - אנטרטיק ספריי מסיר אבנית 1 ליטר,לא ידוע,סנט מוריץ - אנטרטיק ספריי מסיר אבנית 1 ליטר,1000,"100 מ""ל"
7290002814580,סנט מוריץ - טורנדו גרגירים לפתיחת סתימות 200 גרם,לא ידוע,סנט מוריץ - טורנדו גרגירים לפתיחת סתימות 200 גרם,200,100 גרם
7290002814603,"סנט מוריץ - מרסס מסיר שומנים קר מבושם לימון 750 מ""ל",לא ידוע,"סנט מוריץ - מרסס מסיר שומנים קר מבושם לימון 750 מ""ל",750,"100 מ""ל"
7290002814870,"סנט מוריץ - מסיר שומנים בניחוח פרחים ולבנדר 750 מ""ל",לא ידוע,"סנט מוריץ - מסיר שומנים בניחוח פרחים ולבנדר 750 מ""ל",750,"100 מ""ל"
7290002814986,סנט מוריץ - דלי מגבונים לחים לניקוי כללי לימון 400 יח',לא ידוע,סנט מוריץ - דלי מגבונים לחים לניקוי כללי לימון 400 יח',400,1 יח'
7290003026197,"ד""ר פישר - קמיל בלו שמן טיפולי 500 מ""ל",לא ידוע,"ד""ר פישר - קמיל בלו שמן טיפולי 500 מ""ל",500,"100 מ""ל"
7290004343095,GOOD PHARM - מברשת תיק מטאלי כחול,לא ידוע,GOOD PHARM - מברשת תיק מטאלי כחול,1,1 יח'
7290004343156,GOOD PHARM - מברשת תיק מטאלי ורוד,לא ידוע,GOOD PHARM - מברשת תיק מטאלי ורוד,1,1 יח'
7290004343590,GOOD PHARM - קליפסים ספרים חום שחור זוג,לא ידוע,GOOD PHARM - קליפסים ספרים חום שחור זוג,2,1 יח'
7290004343774,GOOD PHARM - קליפס בננה,לא ידוע,GOOD PHARM - קליפס בננה,1,1 יח'
7290004343934,GOOD PHARM - סיכות תיק תק שחור 8 יח',לא ידוע,GOOD PHARM - סיכות תיק תק שחור 8 יח',8,1 יח'
7290005084355,"סנסודיין - משחת שיניים דואל קר זהב 75 מ""ל",לא ידוע,"סנסודיין - משחת שיניים דואל קר זהב 75 מ""ל",75,"100 מ""ל"
7290005424403,כיף - סבון ידיים אצות ים 1 ליטר,לא ידוע,כיף - סבון ידיים אצות ים 1 ליטר,1000,"100 מ""ל"
7290005425646,סנו קליר - נוזל לניקוי והברקה 1 ליטר,סנו מפעלי ברונוס,סנו קליר - נוזל לניקוי והברקה 1 ליטר,1000,"100 מ""ל"
7290005427985,"קרמה - תחליב רחצה לפנים פילינג 180 מ""ל",לא ידוע,"קרמה - תחליב רחצה לפנים פילינג 180 מ""ל",180,"100 מ""ל"
7290005591761,יד מרדכי - דבש טהור לחיץ 400 גרם,שטראוס גרופ,יד מרדכי - דבש טהור לחיץ 400 גרם,400,100 גרם
7290006437273,"אלטמן - חומצה פולית 400 מק""ג 200 טבליות","SOMA LABS, INC.","אלטמן - חומצה פולית 400 מק""ג 200 טבליות",200,1 יח'
7290006784322,"סנט מוריץ - תרסיס לניקוי נירוסטה 400 מ""ל",לא ידוע,"סנט מוריץ - תרסיס לניקוי נירוסטה 400 מ""ל",400,"100 מ""ל"
7290006788429,"קרליין - נושם סאן רייס דאודורנט רול און לאישה כתום 75 מ""ל",לא ידוע,"קרליין - נושם סאן רייס דאודורנט רול און לאישה כתום 75 מ""ל",75,"100 מ""ל"
7290008000826,"כצט - משחת שיניים ילדים ברבי 50 מ""ל",כצט,"כצט - משחת שיניים ילדים ברבי 50 מ""ל",50,"100 מ""ל"
